order_id,total,amount,tipAmount,taxAmount,cashbackAmount,createdTime,product,product_price,order_total
MKNFS695CWKNJ,,1055,0.0,98,0,2026-07-24 08:40:52,Roti 1 Piece,79.0,1055.0
MKNFS695CWKNJ,,1055,0.0,98,0,2026-07-24 08:40:52,2 Veggie Combo,799.0,1055.0
XHST274ZF1W4A,,3525,480.0,328,0,2026-07-24 08:38:28,Gobi Manchurian,0.0,3525.0
XHST274ZF1W4A,,3525,480.0,328,0,2026-07-24 08:38:28,Kadhi Chawal,799.0,3525.0
1QRGG1JW79BXP,,196,0.0,18,0,2026-07-24 08:34:36,Tea,89.0,196.0
MBQRGD7XPN3R2,,2202,0.0,205,0,2026-07-24 08:33:46,Roti (5 Pack),299.0,2202.0
MBQRGD7XPN3R2,,2202,0.0,205,0,2026-07-24 08:33:46,1 Dal/Sabzi Medium,0.0,2202.0
0F6GP7HH9M3RP,,881,,82,0,2026-07-24 08:31:14,Kadhi Chawal,799.0,881.0
9SXDWXMBZBK7Y,,1211,0.0,113,0,2026-07-24 08:28:19,Roti (10 Pack),549.0,1211.0
5FRXH04WGF7FG,,98,0.0,9,0,2026-07-24 08:27:49,Tea,89.0,98.0
NS4JWRSNTGBH2,,2697,,251,0,2026-07-24 08:26:23,Roti (5 Pack),299.0,2697.0
NS4JWRSNTGBH2,,2697,,251,0,2026-07-24 08:26:23,Roti (10 Pack),549.0,2697.0
NS4JWRSNTGBH2,,2697,,251,0,2026-07-24 08:26:23,1 Dal/Sabzi Medium,0.0,2697.0
T29HQVDT3MA5M,,881,0.0,82,0,2026-07-24 08:23:00,2 Veggie Combo,799.0,881.0
MF60WZBETDVJP,,275,0.0,26,0,2026-07-24 08:20:20,Puff Patties,0.0,275.0
PMW30Y4XCZB2R,,881,0.0,82,0,2026-07-24 08:19:17,2 Veggie Combo,799.0,881.0
F92M2BWC527A2,,1101,0.0,102,0,2026-07-24 08:18:27,3 Veggie Combo Premium,999.0,1101.0
C04FKZEYH749E,,98,0.0,9,0,2026-07-24 08:17:19,Tea,89.0,98.0
36BVBB1GP8KR0,,219,10.0,20,0,2026-07-24 08:16:57,Can Soda,199.0,219.0
V5JBTQ4WVX7ET,,1211,55.0,113,0,2026-07-24 08:16:17,Roti (5 Pack),299.0,1211.0
V5JBTQ4WVX7ET,,1211,55.0,113,0,2026-07-24 08:16:17,2 Veggie Combo,799.0,1211.0
SF6QF9DDW70YR,,881,0.0,82,0,2026-07-24 08:14:01,2 Veggie Combo,799.0,881.0
QGQ4BE988WVWG,,99,0.0,0,0,2026-07-24 08:13:43,Water Bottle,99.0,99.0
V1Z19HWC18VJP,,881,0.0,82,0,2026-07-24 08:12:03,2 Veggie Combo,799.0,881.0
PM6JPZRK9M4MP,,881,0.0,82,0,2026-07-24 08:09:30,2 Veggie Combo,799.0,881.0
3238QW3AHWXNR,,1101,0.0,102,0,2026-07-24 08:07:43,3 Veggie Combo Premium,999.0,1101.0
5B4RBG5DPMR9J,,99,0.0,0,0,2026-07-24 08:07:01,Water Bottle,99.0,99.0
H3531EGRDPM1M,,98,0.0,9,0,2026-07-24 08:05:26,Tea,89.0,98.0
1S7RZ2B0G4YSE,,196,0.0,18,0,2026-07-24 08:05:04,Tea,89.0,196.0
CGXMVFNFJ6J1P,,2499,0.0,232,0,2026-07-24 07:58:05,Roti (10 Pack),549.0,2499.0
CGXMVFNFJ6J1P,,2499,0.0,232,0,2026-07-24 07:58:05,Samosa Chaat,859.0,2499.0
YM4BD7CCVGSXC,,164,0.0,15,0,2026-07-24 07:56:35,Samosa,149.0,164.0
PQDJ8CD0AE8HM,,1155,0.0,107,0,2026-07-24 07:48:03,Samosa Small 5pc,399.0,1155.0
PQDJ8CD0AE8HM,,1155,0.0,107,0,2026-07-24 07:48:03,Dahi Bhalla Chaat,649.0,1155.0
53K3X7EP1FJPG,,98,0.0,9,0,2026-07-24 07:47:30,Tea,89.0,98.0
FAE362H6EA8AT,,275,0.0,26,0,2026-07-24 07:41:19,Puff Patties,0.0,275.0
JSR7VP97QMKTY,,330,0.0,31,0,2026-07-24 07:40:10,Hot Gulab Jamun,299.0,330.0
0DZ3ZQSFHCYJ4,,881,0.0,82,0,2026-07-24 07:38:41,2 Veggie Combo,799.0,881.0
X2F51MS5NCSHW,,329,0.0,31,0,2026-07-24 07:36:11,Samosa,149.0,329.0
CHQ1TP3GXNWC8,,1212,0.0,113,0,2026-07-24 07:34:50,Schezwan Fried Rice,0.0,1212.0
R9JXVDG7VXZ00,,1322,,123,0,2026-07-24 07:34:00,Chinese Combo Plate,1199.0,1322.0
E4RNZ8FBQ0AV6,,881,0.0,82,0,2026-07-24 07:31:33,2 Veggie Combo,799.0,881.0
XR3XP0H0GRNY2,,1212,0.0,113,0,2026-07-24 07:29:16,Hakka Noodles,0.0,1212.0
90Z6YCBY53VXR,,330,0.0,31,0,2026-07-24 07:28:42,Roti (5 Pack),299.0,330.0
5SRC2ZBYNERDT,,330,0.0,31,0,2026-07-24 07:27:56,Bottle Soda,299.0,330.0
CXYX2EHJB5G5C,,2257,0.0,210,0,2026-07-24 07:25:40,Dhokla,0.0,2257.0
CXYX2EHJB5G5C,,2257,0.0,210,0,2026-07-24 07:25:40,Roti (10 Pack),549.0,2257.0
CXYX2EHJB5G5C,,2257,0.0,210,0,2026-07-24 07:25:40,1 Dal/Sabzi Medium,0.0,2257.0
VGG4D3ZAXP8A6,,275,12.0,26,0,2026-07-24 07:23:59,Puff Patties,0.0,275.0
VSC9XVZK6EQ1R,,605,0.0,56,0,2026-07-24 07:22:37,Roti (10 Pack),549.0,605.0
JBSMSGP0EGY98,,98,,9,0,2026-07-24 07:22:05,Tea,89.0,98.0
72R3Z3N52DNBE,,881,0.0,82,0,2026-07-24 07:21:34,2 Veggie Combo,799.0,881.0
69W730R9Y77ET,,2344,213.0,218,0,2026-07-24 07:20:05,Veg Fried Rice,0.0,2344.0
69W730R9Y77ET,,2344,213.0,218,0,2026-07-24 07:20:05,Tea,89.0,2344.0
69W730R9Y77ET,,2344,213.0,218,0,2026-07-24 07:20:05,Roti (10 Pack),549.0,2344.0
PZFARGS1HGPGA,,2313,0.0,215,0,2026-07-24 07:18:58,Chinese Combo Plate,1199.0,2313.0
PZFARGS1HGPGA,,2313,0.0,215,0,2026-07-24 07:18:58,1 Dal/Sabzi Medium,0.0,2313.0
D3H7DCXDVQC5A,,3304,0.0,307,0,2026-07-24 07:18:10,Samosa Small 5pc,399.0,3304.0
D3H7DCXDVQC5A,,3304,0.0,307,0,2026-07-24 07:18:10,Schezwan Fried Rice,0.0,3304.0
4D81G3F3EYFYR,,262,0.0,24,0,2026-07-24 07:16:56,Tea,89.0,262.0
4D81G3F3EYFYR,,262,0.0,24,0,2026-07-24 07:16:56,Samosa,149.0,262.0
BSC0X1SY6KSRR,,991,,92,0,2026-07-24 07:16:20,1 Dal/Sabzi Medium,0.0,991.0
7WHMHETE5G7R4,,991,0.0,92,0,2026-07-24 07:15:45,Chana Puri,899.0,991.0
2HXW06WV8767C,,1762,0.0,164,0,2026-07-24 07:15:09,Pakora,0.0,1762.0
2HXW06WV8767C,,1762,0.0,164,0,2026-07-24 07:15:09,1 Dal/Sabzi Medium,0.0,1762.0
7K1J97PGRC8FM,,275,0.0,26,0,2026-07-24 07:13:45,Puff Patties,0.0,275.0
29DNWQ2QJ4F0T,,1870,0.0,174,0,2026-07-24 07:12:35,Can Soda,199.0,1870.0
29DNWQ2QJ4F0T,,1870,0.0,174,0,2026-07-24 07:12:35,Chinese Combo Plate,1199.0,1870.0
29DNWQ2QJ4F0T,,1870,0.0,174,0,2026-07-24 07:12:35,Samosa,149.0,1870.0
T2G9E3S4Z861Y,,1212,0.0,113,0,2026-07-24 07:10:17,Schezwan Fried Rice,0.0,1212.0
JZGVFS2P208DC,,98,,9,0,2026-07-24 07:08:51,Tea,89.0,98.0
9VY1FV21M5C9A,,657,,61,0,2026-07-24 07:08:28,Samosa,149.0,657.0
5PBY5ZANF6AJ4,,1101,0.0,102,0,2026-07-24 07:07:23,3 Veggie Combo Premium,999.0,1101.0
33WZF3CFGGTSR,,1643,0.0,153,0,2026-07-24 07:05:39,Samosa,149.0,1643.0
F0K2YDAZN62GG,,986,0.0,92,0,2026-07-24 07:03:31,Samosa,149.0,986.0
AA9SNGA6F305M,,1322,0.0,123,0,2026-07-24 07:01:22,Chinese Combo Plate,1199.0,1322.0
53SYV9G120TWP,,2419,0.0,225,0,2026-07-24 06:58:21,2 Veggie Combo,799.0,2419.0
53SYV9G120TWP,,2419,0.0,225,0,2026-07-24 06:58:21,Samosa,149.0,2419.0
24QF37AVEAQEM,,2419,0.0,225,0,2026-07-24 06:55:26,Samosa,149.0,2419.0
24QF37AVEAQEM,,2419,0.0,225,0,2026-07-24 06:55:26,2 Veggie Combo,799.0,2419.0
XYC2TFQN538G8,,3690,0.0,343,0,2026-07-24 06:56:27,Roti (10 Pack),549.0,3690.0
XYC2TFQN538G8,,3690,0.0,343,0,2026-07-24 06:56:27,1 Dal/Sabzi Large,0.0,3690.0
515YJAA8TVTBM,,2203,0.0,205,0,2026-07-24 06:51:35,Chinese Combo Plate,1199.0,2203.0
515YJAA8TVTBM,,2203,0.0,205,0,2026-07-24 06:51:35,2 Veggie Combo,799.0,2203.0
2SRZZH7TW5C08,,1209,0.0,112,0,2026-07-24 06:48:47,2 Veggie Combo,799.0,1209.0
2SRZZH7TW5C08,,1209,0.0,112,0,2026-07-24 06:48:47,Samosa,149.0,1209.0
76JQV4GZ4WM02,,294,0.0,27,0,2026-07-24 06:38:34,Tea,89.0,294.0
HFSMWQ2APDHXC,,1209,0.0,112,0,2026-07-24 06:44:43,2 Veggie Combo,799.0,1209.0
HFSMWQ2APDHXC,,1209,0.0,112,0,2026-07-24 06:44:43,Samosa,149.0,1209.0
B8PMGS4NC34F4,,824,0.0,77,0,2026-07-24 06:37:55,Puff Patties,0.0,824.0
PPZ9YHT6E0F2E,,2420,0.0,225,0,2026-07-24 06:37:26,3 Veggie Combo Premium,999.0,2420.0
PPZ9YHT6E0F2E,,2420,0.0,225,0,2026-07-24 06:37:26,Hot Gulab Jamun,299.0,2420.0
DDRJWVA80ZVX0,,2090,0.0,194,0,2026-07-24 06:36:18,Samosa,149.0,2090.0
DDRJWVA80ZVX0,,2090,0.0,194,0,2026-07-24 06:36:18,Aloo Parantha,699.0,2090.0
DDRJWVA80ZVX0,,2090,0.0,194,0,2026-07-24 06:36:18,Amritsari Kulcha Channa,899.0,2090.0
4R01MG0CZYZ78,,196,0.0,18,0,2026-07-24 06:34:57,Tea,89.0,196.0
6WHX5RZRERWA8,,164,0.0,15,0,2026-07-24 06:34:33,Samosa,149.0,164.0
28QM2TNDKQNQA,,991,0.0,92,0,2026-07-24 06:34:05,Amritsari Kulcha Channa,899.0,991.0
QQ6XE22Y8HEQ0,,991,0.0,92,0,2026-07-24 06:33:37,1 Dal/Sabzi Medium,0.0,991.0
K6Y7ERBY5QEPT,,1420,0.0,132,0,2026-07-24 06:32:56,Tea,89.0,1420.0
K6Y7ERBY5QEPT,,1420,0.0,132,0,2026-07-24 06:32:56,Gobi Manchurian,0.0,1420.0
3YD8F4900AGJT,,2695,0.0,251,0,2026-07-24 06:32:27,Chili Garlic Noodles,0.0,2695.0
3YD8F4900AGJT,,2695,0.0,251,0,2026-07-24 06:32:27,Puff Patties,0.0,2695.0
8QJBZHZK635M4,,1283,0.0,119,0,2026-07-24 06:31:34,Tea,89.0,1283.0
8QJBZHZK635M4,,1283,0.0,119,0,2026-07-24 06:31:34,Samosa Small 5pc,399.0,1283.0
8QJBZHZK635M4,,1283,0.0,119,0,2026-07-24 06:31:34,Puff Patties,0.0,1283.0
D0Q2AR9RPP4AA,,196,,18,0,2026-07-24 06:29:45,Tea,89.0,196.0
Y9X71CKMC5Z5A,,2255,0.0,210,0,2026-07-24 06:28:57,Dahi Bhalla Chaat,649.0,2255.0
Y9X71CKMC5Z5A,,2255,0.0,210,0,2026-07-24 06:28:57,Puff Patties,0.0,2255.0
NW8F91T9XPJ1T,,1322,,123,0,2026-07-24 06:28:27,Chinese Combo Plate,1199.0,1322.0
VZ5G7TBNSWHCR,,881,0.0,82,0,2026-07-24 06:26:00,1 Dal/Sabzi Medium,0.0,881.0
HDJPR30J9VZ44,,881,0.0,82,0,2026-07-24 06:25:28,2 Veggie Combo,799.0,881.0
ERJDD7QJ3WWP2,,2203,0.0,205,0,2026-07-24 06:25:25,Veg Momos (7 Pieces),899.0,2203.0
ERJDD7QJ3WWP2,,2203,0.0,205,0,2026-07-24 06:25:25,Hakka Noodles,0.0,2203.0
19S6VSYC8AKBC,,4185,0.0,389,0,2026-07-24 06:21:23,1 Dal/Sabzi Small,0.0,4185.0
19S6VSYC8AKBC,,4185,0.0,389,0,2026-07-24 06:21:23,1 Dal/Sabzi Medium,0.0,4185.0
19S6VSYC8AKBC,,4185,0.0,389,0,2026-07-24 06:21:23,Schezwan Fried Rice,0.0,4185.0
CY5T8JH9Q33CE,,3853,0.0,358,0,2026-07-24 06:18:52,1 Dal/Sabzi Medium,0.0,3853.0
CY5T8JH9Q33CE,,3853,0.0,358,0,2026-07-24 06:18:52,1 Dal/Sabzi Small,0.0,3853.0
CY5T8JH9Q33CE,,3853,0.0,358,0,2026-07-24 06:18:52,Gobi Parantha 4Pc Pack,599.0,3853.0
CY5T8JH9Q33CE,,3853,0.0,358,0,2026-07-24 06:18:52,Plain Parantha 4pc Pack,599.0,3853.0
