vendor_name,vendor_type,matched_vendor_name,match_score,updated_name
Hathi Brand,Grocery Vendor,Hathi Brand,100.0,Hathi Brand
Jaymin,Grocery Vendor,Jaymin,100.0,Jaymin
Vadilal Industries,Grocery Vendor,Vadilal Industries,100.0,Vadilal Industries
GMS,Grocery Vendor,GMS,100.0,GMS
Babco,Grocery Vendor,Babco,100.0,Babco
S.J. Distributors LLC,Kitchen Vendor,S.J. Distributors LLC,100.0,S.J. Distributors LLC
Gold Rush Distribution,Grocery Vendor,Gold Rush Distribution,100.0,Gold Rush Distribution
Gurudev Imports Inc,Grocery Vendor,Gurudev Imports Inc,100.0,Gurudev Imports Inc
Safra distribution,Grocery Vendor,IA Distribution,84.84848484848484,
Nab Spice House,Grocery Vendor,House Of Spices,80.0,
D & J International,Grocery Vendor,Daaks International,78.94736842105263,
Aman Sweets,Kitchen Vendor,Satya Sweets,78.26086956521739,
K&M International,Grocery Vendor,United international,75.67567567567568,
Fresh nepo bajio produce,Produce Vendor,EL Bajio Produce,75.0,
Kisaan International,Produce Vendor,United international,75.0,
PSA Imports,Expenses,Ronak Imports,75.0,
Tanvi Foods,Grocery Vendor,SLT FOODS,70.0,
Saffron Foods,Grocery Vendor,Wisoman Foods,69.23076923076923,
Kradjian Imports,Grocery Vendor,Ronak Imports,68.96551724137932,
Rajbhog Distributors,Grocery Vendor,IA Distribution,68.57142857142857,
Tasty Fresh,Grocery Vendor,Desi Taste,66.66666666666667,
Print Early LLC,Grocery Vendor,Pints of Joy LLC,64.51612903225806,
Annapoorna Foods,Grocery Vendor,Dhanya Foods,64.28571428571428,
PAP Products,Expenses,T & S Produce,64.0,
Imports Eats LLC,Grocery Vendor,Gurudev Imports Inc,62.857142857142854,
Kavya Foods,Grocery Vendor,Zee Foods,60.0,
Marquez Brothers,Grocery Vendor,Master Butcher,60.0,
Surya India ,Kitchen Vendor,Surati CA,60.0,
Badoota,Grocery Vendor,Hot Breads,58.82352941176471,
New Fruit Company,Produce Vendor,Ruchira Heritage Company,58.53658536585367,
First World Asian ,Grocery Vendor,Spicy World,57.14285714285714,
Cintas,Expenses,VitaPlus,57.14285714285714,
Flavor Labs llc,Grocery Vendor,Salinas Valley Farms,57.14285714285714,
Kay Bee,Produce Vendor,KAY BEE FRUITS INC,56.00000000000001,
Pani Puri,Kitchen Vendor,Surati CA,55.55555555555556,
Rosemary Farm,Grocery Vendor,Califarm Produce,55.172413793103445,
Malabar Trades,Grocery Vendor,New Desi Bazaar,55.172413793103445,
Dawn,Backery Vendor,Dhanraj,54.54545454545454,
Sky 2 Freight,Expenses,Frito Lay,54.54545454545454,
Natural food imports llc,Grocery Vendor,Ronak Imports,54.054054054054056,
Chill chain,Dairy Vendor,Bhanu Impex LLC,53.84615384615385,
KMAS INC.,Expenses,Blaze Market Inc.,53.84615384615385,
Aasaa divinity,Produce Vendor,Aasaa Divinity LLC DBA. Divine Flowers,53.84615384615385,
Maket Space llc,Grocery Vendor,Mangalm LLC,53.84615384615385,
Central Computers,Expenses,Central Valley Impex Inc,53.65853658536586,
Indian Cookware & Appliance,Grocery Vendor,India's Fine Foods,53.333333333333336,
Sea2shore ,Grocery Vendor,Hot Breads,52.63157894736843,
Sreevik llc,Grocery Vendor,Prime Routes LLC,51.85185185185186,
Shine Impex,Grocery Vendor,Central Valley Impex Inc,51.42857142857142,
Tang's Resturant Service,Expenses,Nutrica Trading,51.28205128205128,
Chetak Sanfrancisco,Grocery Vendor,Surati CA,50.0,
Dairy Components,Grocery Vendor,Ruchira Heritage Company,50.0,
Shor Media,Expenses,Hot Breads,50.0,
MD2US,Grocery Vendor,GMS,50.0,
Revel,Expenses,The Breaven LLC,50.0,
Sugar daddy,Grocery Vendor,Surati CA,50.0,
TT Global,Grocery Vendor,La Rosa Tortilla,48.0,
K k traders,Grocery Vendor,LK Produce,47.61904761904761,
Venzu Traders,Grocery Vendor,VL Farms,47.61904761904761,
Coca cola bottling llc,Grocery Vendor,Costco Wholesale,47.36842105263158,
Frontier World Wide LLC,Expenses,Spicy World,47.05882352941176,
Javier Lopez,Produce Vendor,Dairy Delivery,46.15384615384615,
Kokila kitchen,Grocery Vendor,Annamma's Kitchen,45.16129032258065,
Prime Nova Partners,Grocery Vendor,Banner Fruit,45.16129032258065,
J c cheyene,Produce Vendor,Wonder Ice Cream,44.44444444444444,
Kirat 31 LLC,Grocery Vendor,The Breaven LLC,44.44444444444444,
Linton Paper Supply,Backery Vendor,Frito Lay,42.85714285714286,
Kcb,Grocery Vendor,LK Produce,30.76923076923077,
